game_id,game_date,home_team,away_team,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score,spread_home_last,total_last,moneyline_home_last,confidence_tier,cluster_alignment,disagreement_flag,actionability
0022500093,2025-10-24T00:00:00Z,Houston Rockets,Detroit Pistons,,,,,,,,,IGNORE,NONE,False,
0022500094,2025-10-24T00:00:00Z,Memphis Grizzlies,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0022500095,2025-10-24T00:00:00Z,New Orleans Pelicans,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0022500096,2025-10-24T00:00:00Z,Dallas Mavericks,Washington Wizards,,,,,,,,,IGNORE,NONE,False,
0022500097,2025-10-24T00:00:00Z,Portland Trail Blazers,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0022500098,2025-10-24T00:00:00Z,Sacramento Kings,Utah Jazz,,,,,,,,,IGNORE,NONE,False,
0022500099,2025-10-24T00:00:00Z,LA Clippers,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0022500100,2025-10-25T00:00:00Z,Orlando Magic,Chicago Bulls,,,,,,,,,IGNORE,NONE,False,
0022500101,2025-10-25T00:00:00Z,Atlanta Hawks,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0022500102,2025-10-25T00:00:00Z,Philadelphia 76ers,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0022500103,2025-10-25T00:00:00Z,Memphis Grizzlies,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0022500104,2025-10-25T00:00:00Z,Denver Nuggets,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0022500105,2025-10-26T00:00:00Z,San Antonio Spurs,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0022500106,2025-10-26T00:00:00Z,Detroit Pistons,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0022500107,2025-10-26T00:00:00Z,Cleveland Cavaliers,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
0022500108,2025-10-26T00:00:00Z,Miami Heat,New York Knicks,,,,,,,,,IGNORE,NONE,False,
0022500109,2025-10-26T00:00:00Z,Washington Wizards,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0022500110,2025-10-26T00:00:00Z,Minnesota Timberwolves,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0022500111,2025-10-26T00:00:00Z,Dallas Mavericks,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0022500112,2025-10-26T00:00:00Z,LA Clippers,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0022500113,2025-10-26T00:00:00Z,Sacramento Kings,Los Angeles Lakers,,,,,,,,,IGNORE,NONE,False,
0022500114,2025-10-27T00:00:00Z,Philadelphia 76ers,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0022500115,2025-10-27T00:00:00Z,Chicago Bulls,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0022500116,2025-10-27T00:00:00Z,Houston Rockets,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0022500117,2025-10-27T00:00:00Z,New Orleans Pelicans,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0022500118,2025-10-27T00:00:00Z,San Antonio Spurs,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0022500119,2025-10-27T00:00:00Z,Dallas Mavericks,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0022500120,2025-10-27T00:00:00Z,Utah Jazz,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0022500121,2025-10-27T00:00:00Z,Golden State Warriors,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0022500122,2025-10-27T00:00:00Z,Los Angeles Lakers,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0022500123,2025-10-28T00:00:00Z,Washington Wizards,Philadelphia 76ers,,,,,,,,,IGNORE,NONE,False,
0022500124,2025-10-28T00:00:00Z,Miami Heat,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0022500125,2025-10-28T00:00:00Z,Milwaukee Bucks,New York Knicks,,,,,,,,,IGNORE,NONE,False,
0022500126,2025-10-28T00:00:00Z,Oklahoma City Thunder,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0022500127,2025-10-28T00:00:00Z,Golden State Warriors,LA Clippers,,,,,,,,,IGNORE,NONE,False,
0022500128,2025-10-29T00:00:00Z,Boston Celtics,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500129,2025-10-29T00:00:00Z,Detroit Pistons,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0022500130,2025-10-29T00:00:00Z,Brooklyn Nets,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0022500131,2025-10-29T00:00:00Z,Toronto Raptors,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0022500132,2025-10-29T00:00:00Z,Chicago Bulls,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0022500133,2025-10-29T00:00:00Z,Dallas Mavericks,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0022500134,2025-10-29T00:00:00Z,Denver Nuggets,New Orleans Pelicans,,,,,,,,,IGNORE,NONE,False,
0022500135,2025-10-29T00:00:00Z,Utah Jazz,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0022500136,2025-10-29T00:00:00Z,Minnesota Timberwolves,Los Angeles Lakers,,,,,,,,,IGNORE,NONE,False,
0022500137,2025-10-29T00:00:00Z,Phoenix Suns,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0022500138,2025-10-30T00:00:00Z,Charlotte Hornets,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0022500139,2025-10-30T00:00:00Z,Milwaukee Bucks,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0022500140,2025-10-30T00:00:00Z,Oklahoma City Thunder,Washington Wizards,,,,,,,,,IGNORE,NONE,False,
0022500141,2025-10-30T00:00:00Z,San Antonio Spurs,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0022500142,2025-11-01T00:00:00Z,Milwaukee Bucks,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0022500143,2025-11-01T00:00:00Z,Charlotte Hornets,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500144,2025-11-01T00:00:00Z,Indiana Pacers,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0022500145,2025-11-01T00:00:00Z,Washington Wizards,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0022500146,2025-11-01T00:00:00Z,Boston Celtics,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0022500147,2025-11-01T00:00:00Z,Detroit Pistons,Dallas Mavericks,,,,,,,,,IGNORE,NONE,False,
0022500148,2025-11-02T00:00:00Z,Oklahoma City Thunder,New Orleans Pelicans,,,,,,,,,IGNORE,NONE,False,
0022500149,2025-11-02T00:00:00Z,Brooklyn Nets,Philadelphia 76ers,,,,,,,,,IGNORE,NONE,False,
0022500150,2025-11-02T00:00:00Z,Charlotte Hornets,Utah Jazz,,,,,,,,,IGNORE,NONE,False,
0022500151,2025-11-02T00:00:00Z,Cleveland Cavaliers,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0022500152,2025-11-02T00:00:00Z,Toronto Raptors,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0022500153,2025-11-02T00:00:00Z,New York Knicks,Chicago Bulls,,,,,,,,,IGNORE,NONE,False,
0022500154,2025-11-02T00:00:00Z,Phoenix Suns,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0022500155,2025-11-02T00:00:00Z,Los Angeles Lakers,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0022500156,2025-11-03T00:00:00Z,Brooklyn Nets,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500157,2025-11-03T00:00:00Z,Indiana Pacers,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
