game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,vegas_spread_home,vegas_total,model,projected_margin,spread_edge,projected_total,total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,confidence_tier,arbitration_cluster,selection_authority,is_authority
0022500693,Cleveland Cavaliers,Phoenix Suns,113,126,13,239,2.0,224.0,MonkeyDarts_v2,-8.451879909337336,-10.451879909337336,236.32434579861498,12.324345798614985,HOME,OVER,WIN,WIN,WIN,HOME,OVER,WIN,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500694,Brooklyn Nets,Utah Jazz,109,99,-10,208,-3.5,226.0,FatiguePlus_v3,-3.057857142857151,0.4421428571428492,234.01642857142858,8.016428571428577,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500694,Brooklyn Nets,Utah Jazz,109,99,-10,208,-3.5,226.0,InjuryModel_v2,-0.9578571428571507,2.5421428571428493,236.29642857142858,10.296428571428578,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500694,Brooklyn Nets,Utah Jazz,109,99,-10,208,-3.5,226.0,Joel_Baseline_v1,-0.9578571428571507,2.5421428571428493,236.29642857142858,10.296428571428578,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500694,Brooklyn Nets,Utah Jazz,109,99,-10,208,-3.5,226.0,MonkeyDarts_v2,-8.183266963357227,-4.683266963357227,241.55924312225264,15.559243122252639,HOME,OVER,LOSS,LOSS,LOSS,AWAY,OVER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500696,Detroit Pistons,Golden State Warriors,131,124,-7,255,-2.5,225.0,FatiguePlus_v3,-4.165925925925924,-1.665925925925924,228.6925925925926,3.6925925925926038,HOME,OVER,LOSS,WIN,LOSS,AWAY,OVER,WIN,WIN,IGNORE,NONE,Joel_Baseline_v1,False
0022500696,Detroit Pistons,Golden State Warriors,131,124,-7,255,-2.5,225.0,InjuryModel_v2,-2.0659259259259244,0.4340740740740756,230.9725925925926,5.972592592592605,AWAY,OVER,WIN,WIN,WIN,AWAY,OVER,WIN,WIN,IGNORE,NONE,Joel_Baseline_v1,False
0022500696,Detroit Pistons,Golden State Warriors,131,124,-7,255,-2.5,225.0,Joel_Baseline_v1,-2.0659259259259244,0.4340740740740756,230.9725925925926,5.972592592592605,AWAY,OVER,WIN,WIN,WIN,AWAY,OVER,WIN,WIN,IGNORE,NONE,Joel_Baseline_v1,True
0022500696,Detroit Pistons,Golden State Warriors,131,124,-7,255,-2.5,225.0,MonkeyDarts_v2,-10.109970130257848,-7.609970130257848,237.43858680954378,12.438586809543779,HOME,OVER,LOSS,WIN,LOSS,AWAY,OVER,WIN,WIN,IGNORE,NONE,Joel_Baseline_v1,False
0022500697,San Antonio Spurs,Charlotte Hornets,106,111,5,217,4.0,228.0,FatiguePlus_v3,2.324404761904759,-1.6755952380952408,229.99857142857144,1.998571428571438,HOME,OVER,WIN,LOSS,LOSS,HOME,OVER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
